-920,-57,-51,-974,-337,61,-996,-272,-205
-974,-337,61,-920,-57,-51,-840,-57,-11
-974,-337,61,-840,-57,-11,-880,-57,160
-840,-57,-11,-920,-57,-51,-807,142,-48
-840,-57,-11,-807,142,-48,-807,142,72
-840,-57,-11,-807,142,72,-880,-57,160
-996,-272,-205,-960,-57,-216,-920,-57,-51
-1246,-337,-200,-1286,-57,-240,-1094,-57,-252
-996,-272,-205,-1246,-337,-200,-1094,-57,-252
-960,-57,-216,-996,-272,-205,-1094,-57,-252
-1094,-57,-252,-1286,-57,-240,-1246,53,-200
-973,-57,200,-974,-337,61,-880,-57,160
-807,142,72,-991,142,107,-973,-57,200
-807,142,72,-973,-57,200,-880,-57,160
-1206,-337,160,-974,-337,61,-973,-57,200
-1246,-57,200,-1206,-337,160,-973,-57,200
-1215,100,164,-1246,-57,200,-973,-57,200
-991,142,107,-1215,100,164,-973,-57,200
-1408,59,-191,-1246,53,-200,-1286,-57,-240
-1246,-337,-200,-1408,59,-191,-1286,-57,-240
-1408,59,-191,-1246,-337,-200,-1385,-287,-40
-1385,-287,-40,-1473,62,-153,-1408,59,-191
-1385,-287,-40,-1520,62,-40,-1473,62,-153
-1385,-287,-40,-1473,62,73,-1520,62,-40
-1385,-287,-40,-1360,62,120,-1473,62,73
-1385,-287,-40,-1206,-337,160,-1360,62,120
-1246,-57,200,-1215,100,164,-1360,62,120
-1206,-337,160,-1246,-57,200,-1360,62,120
-920,-57,-51,-1182,49,-67,-972,142,-27
-807,142,-48,-920,-57,-51,-972,142,-27
-1261,91,-19,-1360,62,120,-1215,100,164
-1261,91,-19,-1182,49,-67,-1246,53,-200
-960,-57,-216,-1094,-57,-252,-1246,53,-200
-1473,62,73,-1360,62,120,-1261,91,-19
-1520,62,-40,-1473,62,73,-1261,91,-19
-1473,62,-153,-1520,62,-40,-1261,91,-19
-1408,59,-191,-1473,62,-153,-1261,91,-19
-1246,53,-200,-1408,59,-191,-1261,91,-19
-1182,49,-67,-1261,91,-19,-972,142,-27
-972,142,-27,-1215,100,164,-991,142,107
-972,142,-27,-1261,91,-19,-1215,100,164
-807,142,72,-972,142,-27,-991,142,107
-807,142,72,-807,142,-48,-972,142,-27
-920,-57,-51,-1246,53,-200,-1182,49,-67
-920,-57,-51,-960,-57,-216,-1246,53,-200
-1246,-337,-200,-996,-272,-205,-974,-337,61
-1246,-337,-200,-974,-337,61,-1206,-337,160
-1385,-287,-40,-1246,-337,-200,-1206,-337,160
