"file_name","collision_name","offset","type"
"gameplay_dangeon_keep","gPushBlockCol","0x4E98","object"
"gameplay_dangeon_keep","gFloorSwitchCol","0x5FB8","object"
"gameplay_field_keep","gBgBombwallCol","0x41B0","object"
"gameplay_keep","gLargerCubeCol","0x39CE0","object"
"gameplay_keep","gWideTallBlockCol","0x3A278","object"
"gameplay_keep","gTallBlockCol","0x3A5F0","object"
"gameplay_keep","gSmallerFlatBlockCol","0x3A950","object"
"gameplay_keep","gLargerFlatBlockCol","0x3ACB0","object"
"gameplay_keep","gSmallerCubeCol","0x3B020","object"
"gameplay_keep_pal","gLargerCubeCol","0x394B0","object"
"gameplay_keep_pal","gWideTallBlockCol","0x39A48","object"
"gameplay_keep_pal","gTallBlockCol","0x39DC0","object"
"gameplay_keep_pal","gSmallerFlatBlockCol","0x3A120","object"
"gameplay_keep_pal","gLargerFlatBlockCol","0x3A480","object"
"gameplay_keep_pal","gSmallerCubeCol","0x3A7F0","object"
"object_am","gArmosCol","0x118","object"
"object_bdan_objects","gJabuElevatorCol","0x5048","object"
"object_bdan_objects","gJabuLoweringPlatformCol","0x5580","object"
"object_bdan_objects","gJabuFloorSwitchCol","0x5CF8","object"
"object_bdan_objects","gJabuBigOctoPlatformCol","0x8CE0","object"
"object_blkobj","gIllusionRoomCol","0x7564","object"
"object_bowl","gBowlingFirstAndFinalRoundCol","0xCB8","object"
"object_bowl","gBowlingSecondRoundCol","0x1B00","object"
"object_bowl","gBowlingDefaultCol","0x1C40","object"
"object_box","gTreasureChestCol","0x5FC8","object"
"object_brob","gBrobCol","0x1A70","object"
"object_bwall","object_bwall_Col_000118","0x118","object"
"object_d_elevator","object_d_elevator_Col_000360","0x360","object"
"object_d_hsblock","gHookshotTargetCol","0x578","object"
"object_d_hsblock","gHookshotPostCol","0x730","object"
"object_d_lift","gCollapsingPlatformCol","0x3D0","object"
"object_ddan_objects","gDodongoLowerJawCol","0x1DDC","object"
"object_ddan_objects","gDodongoRisingPlatformCol","0x3CE0","object"
"object_ddan_objects","gDodongoFallingStairsCol","0x4F30","object"
"object_demo_kekkai","gClearBlockCol","0xC080","object"
"object_demo_kekkai","gFireTrialPlatformCol","0xECD8","object"
"object_demo_kekkai","gWaterTrialIceBlockCol","0x4618","object"
"object_door_gerudo","gGerudoCellDoorCol","0x170","object"
"object_fd","gVolvagiaPlatformCol","0xD68","object"
"object_fd_pal","gVolvagiaPlatformCol","0xD68","object"
"object_gj","gGanonsCastleRubbleAroundArenaCol","0x1B70","object"
"object_gj","gGanonsCastleRubble4Col","0x2850","object"
"object_gj","gGanonsCastleRubble5Col","0x2D28","object"
"object_gj","gGanonsCastleRubble6Col","0x2FE4","object"
"object_gj","gGanonsCastleRubble7Col","0x33E0","object"
"object_gj","gGanonsCastleRubble2Col","0x1F70","object"
"object_gj","gGanonsCastleRubble3Col","0x2448","object"
"object_gj","gGanonsCastleRubbleTallCol","0x3AF0","object"
"object_gjyo_objects","gRainbowBridgeCol","0xDB8","object"
"object_gnd","gPhantomGanonBarsCol","0x12FD0","object"
"object_goma","gGohmaDoorCol","0x1D9D0","object"
"object_goma_pal","gGohmaDoorCol","0x1EDD0","object"
"object_gt","gTowerCollapseCsCollapsedStructureInnerCol","0x5CB8","object"
"object_gt","gTowerCollapseCsCollapsedStructureOuterCol","0x91E4","object"
"object_haka","gGravestoneCol","0x428","object"
"object_haka_objects","object_haka_objects_Col_000118","0x118","object"
"object_haka_objects","object_haka_objects_Col_004330","0x4330","object"
"object_haka_objects","object_haka_objects_Col_0044D0","0x44D0","object"
"object_haka_objects","object_haka_objects_Col_004780","0x4780","object"
"object_haka_objects","object_haka_objects_Col_004940","0x4940","object"
"object_haka_objects","object_haka_objects_Col_004B00","0x4B00","object"
"object_haka_objects","object_haka_objects_Col_004CC0","0x4CC0","object"
"object_haka_objects","object_haka_objects_Col_005334","0x5334","object"
"object_haka_objects","object_haka_objects_Col_005E30","0x5E30","object"
"object_haka_objects","object_haka_objects_Col_006F70","0x6F70","object"
"object_haka_objects","object_haka_objects_Col_0081D0","0x81D0","object"
"object_haka_objects","object_haka_objects_Col_008D10","0x8D10","object"
"object_haka_objects","object_haka_objects_Col_009168","0x9168","object"
"object_haka_objects","object_haka_objects_Col_009CD0","0x9CD0","object"
"object_haka_objects","object_haka_objects_Col_00A7F4","0xA7F4","object"
"object_haka_objects","object_haka_objects_Col_00A938","0xA938","object"
"object_haka_objects","object_haka_objects_Col_00E408","0xE408","object"
"object_haka_objects","object_haka_objects_Col_00ED7C","0xED7C","object"
"object_haka_objects","object_haka_objects_Col_0108B8","0x108B8","object"
"object_haka_objects","object_haka_objects_Col_010E10","0x10E10","object"
"object_haka_objects","object_haka_objects_Col_0131C4","0x131C4","object"
"object_hakach_objects","gBotwCoffinLidCol","0x0870","object"
"object_hakach_objects","gBotwBombSpotCol","0x0C2C","object"
"object_hakach_objects","gBotw1Col","0x1830","object"
"object_hakach_objects","gBotw2Col","0x1AB8","object"
"object_hata","gFlagpoleCol","0xC0","object"
"object_heavy_object","gHeavyBlockCol","0x169C","object"
"object_hidan_objects","gFireTempleHammerableTotemCol","0xDA10","object"
"object_hidan_objects","gFireTempleHookshotElevatorCol","0xE1E8","object"
"object_hidan_objects","gFireTempleStoneStep1Col","0xDE44","object"
"object_hidan_objects","gFireTempleStoneStep2Col","0xDD1C","object"
"object_hidan_objects","gFireTempleMetalFenceWithSlantCol","0xE2CC","object"
"object_hidan_objects","gFireTempleMetalFenceCol","0xE380","object"
"object_hidan_objects","gFireTempleMetalFence2Col","0xE430","object"
"object_hidan_objects","gFireTempleCrackedStoneFloorCol","0xD800","object"
"object_hidan_objects","gFireTempleBombableWallCol","0xD878","object"
"object_hidan_objects","gFireTempleLargeBombableWallCol","0xD8F8","object"
"object_hidan_objects","gFireTempleStoneBlock1Col","0xCB80","object"
"object_hidan_objects","gFireTempleStoneBlock2Col","0xDF78","object"
"object_hidan_objects","gFireTempleSpinningFlamethrowerCol","0xD5C0","object"
"object_hidan_objects","gFireTempleStationaryFlamethrowerShortCol","0xCC90","object"
"object_hidan_objects","gFireTempleStationaryFlamethrowerTallCol","0xCDA0","object"
"object_hidan_objects","gFireTempleStonePlatform1Col","0x120E8","object"
"object_hidan_objects","gFireTempleStonePlatform2Col","0xFAE8","object"
"object_hidan_objects","gFireTempleFlareDancerPlatformCol","0xE568","object"
"object_hidan_objects","gFireTempleTallestPillarAboveRoomBeforeBossCol","0xD054","object"
"object_hidan_objects","gFireTemplePillarInsertedInGroundCol","0xD188","object"
"object_ice_objects","object_ice_objects_Col_0003F0","0x3F0","object"
"object_ice_objects","gRedIcePlatformCol","0x1C1C","object"
"object_ice_objects","object_ice_objects_Col_002594","0x2594","object"
"object_ice_objects","object_ice_objects_Col_002854","0x2854","object"
"object_ice_objects","gRedIceWallCol","0x2920","object"
"object_ingate","gIngoGateCol","0x11B8","object"
"object_jj","gJabuJabuHeadCol","0x0A1C","object"
"object_jj","gJabuJabuBodyCol","0x1830","object"
"object_jj","gJabuJabuUnusedCol","0xBA8C","object"
"object_js","gCarpetMerchantCol","0x5EF8","object"
"object_jya_iron","gPillarCol","0x0D48","object"
"object_jya_iron","gThroneCol","0x1430","object"
"object_jya_obj","g1fliftCol","0x4A8","object"
"object_jya_obj","gAmishutterCol","0xC4C8","object"
"object_jya_obj","gBombiwaCol","0xE710","object"
"object_jya_obj","gCobraCol","0x1167C","object"
"object_jya_obj","gKanaamiCol","0xF208","object"
"object_jya_obj","gLiftCol","0xD7E8","object"
"object_jya_obj","GMegamiCol","0x5C4C","object"
"object_jya_obj","gZurerukabeCol","0x12508","object"
"object_kibako2","gLargeCrateCol","0xB70","object"
"object_kingdodongo","object_kingdodongo_Col_025B64","0x24764","object"
"object_kingdodongo","object_kingdodongo_Col_0264A8","0x250A8","object"
"object_kingdodongo_pal","object_kingdodongo_Col_025B64","0x25B64","object"
"object_kingdodongo_pal","object_kingdodongo_Col_0264A8","0x264A8","object"
"object_lightbox","object_lightbox_Col_0003A0","0x3A0","object"
"object_lightbox","object_lightbox_Col_000770","0x770","object"
"object_lightbox","object_lightbox_Col_000B40","0xB40","object"
"object_lightbox","object_lightbox_Col_001F10","0x1F10","object"
"object_mamenoki","gMagicBeanPlatformCol","0x5DC","object"
"object_menkuri_objects","gGTGRotatingRingPlatformCol","0x42D8","object"
"object_mizu_objects","gWaterTempleFloatingPlatformOutsideCentralPillarCol","0x03F0","object"
"object_mizu_objects","gWaterTempleFloatingPlatformWestCol","0x0998","object"
"object_mizu_objects","gWaterTempleFloatingPlatformInsideCentralPillarCol","0x0ED0","object"
"object_mizu_objects","gWaterTempleHookshotPlatformCol","0x15F8","object"
"object_mizu_objects","gWaterTempleDragonStatueCol","0x3590","object"
"object_mizu_objects","gObjectMizuObjectsBwallCol_001C58","0x1C58","object"
