"object_name","collision_name","offset","type"
"gameplay_dangeon_keep","gameplay_dangeon_keep_Colheader_007498","0x7498","object"
"gameplay_dangeon_keep","gFloorSwitchCol","0x8018","object"
"gameplay_dangeon_keep","gameplay_dangeon_keep_Colheader_01D488","0x1D488","object"
"gameplay_dangeon_keep","gWarpTagGoronTrialBaseCol","0x2324C","object"
"gameplay_field_keep","gameplay_field_keep_Colheader_003A60","0x3A60","object"
"gameplay_keep","gPinkDekuFlowerCol","0xE710","object"
"gameplay_keep","gGoldDekuFlowerCol","0x118D8","object"
"gameplay_keep","gFramedDoorCol","0x23100","object"
"gameplay_keep","gameplay_keep_Colheader_058F30","0x58F30","object"
"gameplay_keep","gameplay_keep_Colheader_0594C8","0x594C8","object"
"gameplay_keep","gameplay_keep_Colheader_059840","0x59840","object"
"gameplay_keep","gameplay_keep_Colheader_059BA0","0x59BA0","object"
"gameplay_keep","gameplay_keep_Colheader_059F00","0x59F00","object"
"gameplay_keep","gameplay_keep_Colheader_05A270","0x5A270","object"
"object_am","object_am_Colheader_000118","0x118","object"
"object_am","object_am_Colheader_005CF8","0x5CF8","object"
"object_astr_obj","object_astr_obj_Colheader_002498","0x2498","object"
"object_botihasira","object_botihasira_Colheader_001BD8","0x1BD8","object"
"object_box","gBoxChestCol","0x80E8","object"
"object_crace_object","gDekuShrineSlidingDoorCol","0xE00","object"
"object_ctower_rot","gClockTowerCorridorCol","0x142E8","object"
"object_ctower_rot","gClockTowerOrganCol","0x16E70","object"
"object_ctower_rot","gClockTowerStoneDoorMainCol","0x17410","object"
"object_ctower_rot","gClockTowerStoneDoorCol","0x17650","object"
"object_ctower_rot","gClockTowerWaterWheelCol","0x18588","object"
"object_d_hsblock","gHookshotTargetCol","0x578","object"
"object_d_hsblock","gHookshotPostCol","0x730","object"
"object_d_lift","object_d_lift_Colheader_000BA0","0xBA0","object"
"object_d_lift","gDampeGraveBrownElevatorCol","0xF00","object"
"object_danpei_object","object_danpei_object_Colheader_000D60","0xD60","object"
"object_dblue_object","gGreatBayTempleObjectElevatorCol","0x5C4","object"
"object_dblue_object","gGreatBayTempleObjectWaterwheelWithPlatformsCol","0x2E78","object"
"object_dblue_object","gGreatBayTempleObjectIceStalactiteCol","0x3540","object"
"object_dblue_object","gGreatBayTempleObjectGearShaftWithPlatformsCol","0x5D28","object"
"object_dblue_object","gGreatBayTempleObjectTwoWaySwitchCol","0x6EA8","object"
