-60,71,-410,-7,-46,-421,-72,48,-392
-60,71,-410,4,-39,-441,-7,-46,-421
-41,73,-384,14,-43,-420,4,-39,-441
-154,313,-238,-88,438,-179,-109,313,-220
-154,313,-238,-121,438,-193,-88,438,-179
-109,313,-220,-74,438,-145,-91,313,-174
-109,313,-220,-88,438,-179,-74,438,-145
-91,313,-174,-88,438,-111,-109,313,-129
-91,313,-174,-74,438,-145,-88,438,-111
-109,313,-129,-121,438,-97,-154,313,-110
-109,313,-129,-88,438,-111,-121,438,-97
-154,313,-110,-155,438,-111,-200,313,-129
-154,313,-110,-121,438,-97,-155,438,-111
-200,313,-129,-169,438,-145,-218,313,-174
-200,313,-129,-155,438,-111,-169,438,-145
-218,313,-174,-155,438,-179,-200,313,-220
-218,313,-174,-169,438,-145,-155,438,-179
-200,313,-220,-121,438,-193,-154,313,-238
-200,313,-220,-155,438,-179,-121,438,-193
55,307,209,-28,296,196,64,293,197
133,342,190,64,293,197,129,326,188
133,342,190,55,307,209,64,293,197
239,276,84,222,329,101,330,203,109
239,276,84,330,203,109,306,203,94
177,329,82,211,407,112,222,329,101
177,329,82,177,407,98,211,407,112
222,329,101,225,407,146,241,329,146
222,329,101,211,407,112,225,407,146
241,329,146,211,407,180,222,329,191
241,329,146,225,407,146,211,407,180
222,329,191,177,407,194,177,329,210
222,329,191,211,407,180,177,407,194
177,329,210,143,407,180,129,326,188
177,329,210,177,407,194,143,407,180
196,266,256,177,329,210,129,326,188
129,326,188,129,407,146,113,329,146
129,326,188,143,407,180,129,407,146
121,203,287,129,326,188,99,203,223
113,329,146,143,407,112,132,329,101
113,329,146,129,407,146,143,407,112
132,329,101,177,407,98,177,329,82
132,329,101,143,407,112,177,407,98
54,74,-231,-26,150,-231,54,150,-231
54,74,-231,-26,74,-231,-26,150,-231
-309,203,-344,-26,150,-384,-26,74,-384
-377,-40,-419,-309,203,-344,-26,74,-384
346,203,-344,414,-40,-419,54,74,-384
346,203,-344,54,74,-384,54,150,-384
54,150,-384,54,74,-231,54,150,-231
54,150,-384,54,74,-384,54,74,-231
-26,150,-231,-26,74,-384,-26,150,-384
-26,150,-231,-26,74,-231,-26,74,-384
-26,74,-384,414,-40,-419,-377,-40,-419
-26,74,-384,54,74,-384,414,-40,-419
260,203,223,72,283,200,72,203,223
260,203,223,219,349,182,72,283,200
-172,349,182,-60,203,223,-60,283,200
-172,349,182,-213,203,223,-60,203,223
-20,203,223,-20,283,63,-20,283,200
-20,203,223,-20,203,63,-20,283,63
32,283,200,32,203,63,32,203,223
32,283,200,32,283,63,32,203,63
72,283,200,-172,349,182,-60,283,200
72,283,200,219,349,182,-172,349,182
-309,203,333,-377,-40,-419,-377,-40,408
-309,203,333,-309,203,-344,-377,-40,-419
346,203,-344,414,-40,408,414,-40,-419
346,203,-344,346,203,333,414,-40,408
-377,-40,408,346,203,333,-309,203,333
-377,-40,408,414,-40,408,346,203,333
