Ancient Castle of Ikana,z2_castle_info,1380,638,-1065,1379.95593,660.421814,-1064.00098
Ancient Castle of Ikana,z2_castle_info,1380,638,-1065,1379.95593,660.421814,-1064.00098
Ancient Castle of Ikana,z2_castle_info,300,638,-1065,299.955841,660.421814,-1064.00098
Ancient Castle of Ikana,z2_castle_info,402,622,-1994,401.066162,639.185425,-1994.35767
Ancient Castle of Ikana,z2_castle_info,300,638,-1995,299.955841,641.552673,-1994.00098
Ancient Castle of Ikana,z2_castle_info,300,638,-1470,299.000946,653.795349,-1470.04297
Ancient Castle of Ikana,z2_castle_info,300,638,-1065,299.000946,653.795349,-1065.04297
Ancient Castle of Ikana,z2_castle_info,300,638,-1470,299.000946,653.795349,-1470.04297
Ancient Castle of Ikana,z2_castle_info,75,638,-1470,74.9558182,656.149475,-1469.00098
Ancient Castle of Ikana,z2_castle_info,300,638,-1470,299.955841,656.149475,-1469.00098
Ancient Castle of Ikana,z2_castle_info,75,638,-1470,74.9558182,656.149475,-1469.00098
Ancient Castle of Ikana,z2_castle_info,300,638,-1890,299.955841,653.626831,-1890.99902
Ancient Castle of Ikana,z2_castle_info,300,638,-1890,299.955841,653.626831,-1890.99902
Ancient Castle of Ikana,z2_castle_info,75,638,-1890,74.9558182,653.626831,-1890.99902
Ancient Castle of Ikana,z2_castle_info,75,638,-1470,74.0009308,646.984131,-1470.04297
Ancient Castle of Ikana,z2_castle_info,75,638,-1470,74.0009308,646.984131,-1470.04297
Ancient Castle of Ikana,z2_castle_info,75,638,-1890,74.0009308,646.984131,-1890.04297
Ancient Castle of Ikana,z2_castle_info,300,638,-1995,299.000946,653.795349,-1995.04297
Ancient Castle of Ikana,z2_castle_info,300,638,-1995,299.000946,653.795349,-1995.04297
Ancient Castle of Ikana,z2_castle_info,300,638,-1890,299.000946,653.795349,-1890.04297
Ancient Castle of Ikana,z2_castle_info,1380,636,-2303,1379.95593,646.135986,-2303.99902
Ancient Castle of Ikana,z2_castle_info,1380,636,-2303,1380.04346,638.564209,-2303.99902
Ancient Castle of Ikana,z2_castle_info,509,634,-2335,509.97464,642.655212,-2335.22363
Ancient Castle of Ikana,z2_castle_info,1380,636,-2303,1379.95593,637.224121,-2302.00098
Ancient Castle of Ikana,z2_castle_info,509,634,-2335,508.955841,638.772217,-2334.00098
Ancient Castle of Ikana,z2_castle_info,1050,15,-2685,1049.00098,15.5043373,-2685.04297
Ancient Castle of Ikana,z2_castle_info,1050,15,-2625,1049.00098,15.5043373,-2625.04297
Ancient Castle of Ikana,z2_castle_info,1050,15,-2625,1049.00098,15.5043373,-2625.04297
Ancient Castle of Ikana,z2_castle_info,1005,15,-2580,1004.95587,15.9540644,-2580.99902
Ancient Castle of Ikana,z2_castle_info,945,15,-2580,944.955872,15.9540644,-2580.99902
Ancient Castle of Ikana,z2_castle_info,945,15,-2580,944.955872,15.9540644,-2580.99902
Ancient Castle of Ikana,z2_castle_info,900,15,-2625,900.999023,15.5888176,-2625.04297
Ancient Castle of Ikana,z2_castle_info,900,15,-2685,900.999023,15.5888176,-2685.04297
Ancient Castle of Ikana,z2_castle_info,900,15,-2685,900.999023,15.5888176,-2685.04297
Ancient Castle of Ikana,z2_castle_info,900,15,-2685,900.31958,15.5247488,-2684.05249
Ancient Castle of Ikana,z2_castle_info,1050,15,-2685,1049.67603,15.9602251,-2684.05396
Ancient Castle of Ikana,z2_castle_info,-300,420,-1755,-300.042267,421.958099,-1754.00098
Ancient Castle of Ikana,z2_castle_info,15,420,-1755,14.9558172,421.958099,-1754.00098
Ancient Castle of Ikana,z2_castle_info,15,420,-1755,14.9558172,421.958099,-1754.00098
