-4004,449,2843,-4004.55688,451.337524,2842.16943
-3912,537,2736,-3912.55762,539.332764,2735.16992
-4132,504,2897,-4132.55176,506.339722,2896.16602
-3690,360,2557,-3690.37256,365.761749,2556.07202
-3545,234,2524,-3545.36768,239.750763,2523.07007
-3293,356,2399,-3293.37231,361.728851,2398.07202
-3032,532,2192,-3032.95581,538.922485,2191.70605
-3021,464,2190,-3021.95581,470.928833,2189.70605
-2991,487,2086,-2991.95581,493.922363,2085.70605
-1563,156,313,-1563.04199,160.20105,313.999115
-1857,202,324,-1857.04199,206.205292,324.999115
-1576,449,383,-1576.04199,453.199066,383.999115
-3963,593,461,-3962.65771,597.476013,461.939575
-3864,779,469,-3863.65723,783.466736,469.939362
-3852,655,435,-3851.65723,659.472168,435.939331
-3963,433,435,-3963.04199,439.06427,435.999084
-4109,592,456,-4109.04199,598.057739,456.999115
-3963,593,461,-3963.04199,599.058655,461.999084
-3412,540,414,-3411.89941,542.22876,414.994904
-3406,406,356,-3405.89941,408.233459,356.994904
-3539,419,376,-3538.89941,421.228851,376.994904
-2381,241,-659,-2381.42456,243.912354,-659.905396
-2378,176,-636,-2378.4248,178.91423,-636.905273
-2104,181,-769,-2104.42456,183.910004,-769.905396
-3265,1067,-701,-3265.37695,1069.06738,-701.926208
-3380,958,-597,-3380.3772,960.058594,-597.926086
-3243,926,-637,-3243.38867,928.061829,-637.921326
-3111,683,2824,-3110.01758,688.176758,2824.18652
-3184,565,3098,-3183.01758,570.170654,3098.18628
-3154,724,3104,-3153.01929,729.182251,3104.19531
-2882,762,2701,-2881.88281,763.148804,2701.99292
-2835,826,2751,-2834.875,827.151672,2751.99194
-2679,782,2692,-2678.86719,783.153198,2692.99097
-3988,932,2064,-3988.06055,933.049133,2064.99805
-3893,763,1917,-3893.06079,764.047791,1917.99805
-4311,885,2003,-4311.06104,886.04071,2003.99805
-5344,713,160,-5344.51758,717.525818,159.144379
-5322,572,183,-5322.50586,576.530151,182.13739
-5053,708,-12,-5053.51758,712.521423,-12.855442
-5344,713,160,-5344.75586,717.275818,159.345428
-5523,586,403,-5523.74707,590.256104,402.335358
-5322,572,183,-5322.74756,576.274841,182.335815
-5702,617,1038,-5702.98633,619.779785,1037.83533
-5683,751,693,-5683.98389,753.789673,692.823242
-5751,749,1050,-5751.98193,751.782104,1049.8125
-4505,575,494,-4504.77637,580.455017,494.974609
-4746,744,581,-4745.75879,749.442627,581.970459
-4494,743,521,-4493.75928,748.46759,521.970581
-4969,746,686,-4968.35938,752.717712,686.767822
-4873,747,606,-4872.36523,753.7276,606.772522
